subject,timestamp,marker,pupil_left,validity_left,pupil_right,validity_right,trial,time,event,pupil_left_old,pupil_right_old
42,1464956760076788,41,3.17418,0,3.22144,0,14,984.4320000000002,answer,3.17418,3.22144
42,1464956760093411,41,3.1783,0,3.22882,0,14,1001.0549999999998,answer,3.1783,3.22882
42,1464956760110034,41,3.19273,0,3.2115,0,14,1017.6779999999994,answer,3.19273,3.2115
42,1464956760126784,41,3.14171,0,3.2011,0,14,1034.4279999999994,answer,3.14171,3.2011
42,1464956760143408,41,3.19292,0,3.21234,0,14,1051.0520000000001,answer,3.19292,3.21234
42,1464956760160043,41,3.18759,0,3.2206,0,14,1067.6869999999994,answer,3.18759,3.2206
42,1464956760176656,41,3.1994,0,3.23366,0,14,1084.2999999999993,answer,3.1994,3.23366
42,1464956760193405,41,3.19279,0,3.22983,0,14,1101.048999999999,answer,3.19279,3.22983
42,1464956760210029,41,3.16296,0,3.21236,0,14,1117.6730000000007,answer,3.16296,3.21236
42,1464956760226653,41,3.15622,0,3.22603,0,14,1134.2970000000005,answer,3.15622,3.22603
42,1464956760243277,41,3.14774,0,3.18614,0,14,1150.9210000000003,answer,3.14774,3.18614
42,1464956760259901,41,3.11505,0,3.19659,0,14,1167.545,answer,3.11505,3.19659
42,1464956760276648,41,3.15086,0,3.1586,0,14,1184.2919999999995,answer,3.15086,3.1586
42,1464956760293273,41,3.12404,0,3.15179,0,14,1200.9169999999995,answer,3.12404,3.15179
42,1464956760309896,41,3.11642,0,3.1512,0,14,1217.539999999999,answer,3.11642,3.1512
42,1464956760326520,41,3.10039,0,3.15201,0,14,1234.1640000000007,answer,3.10039,3.15201
42,1464956760343269,41,3.08763,0,3.13065,0,14,1250.9130000000005,answer,3.08763,3.13065
42,1464956760359907,41,3.06206,0,3.13048,0,14,1267.5509999999995,answer,3.06206,3.13048
42,1464956760376517,41,3.07025,0,3.10567,0,14,1284.161,answer,3.07025,3.10567
42,1464956760393152,41,3.06541,0,3.13168,0,14,1300.7960000000003,answer,3.06541,3.13168
42,1464956760409889,41,3.08147,0,3.11462,0,14,1317.5329999999994,answer,3.08147,3.11462
42,1464956760426516,41,3.07819,0,3.10304,0,14,1334.1599999999999,answer,3.07819,3.10304
42,1464956760443139,41,3.06223,0,3.11031,0,14,1350.7829999999994,answer,3.06223,3.11031
42,1464956760459761,41,3.04222,0,3.0802,0,14,1367.4050000000007,answer,3.04222,3.0802
42,1464956760476384,41,3.02925,0,3.08179,0,14,1384.0280000000002,answer,3.02925,3.08179
42,1464956760493142,41,3.03241,0,3.09216,0,14,1400.786,answer,3.03241,3.09216
42,1464956760509758,41,3.04472,0,3.08995,0,14,1417.402,answer,3.04472,3.08995
42,1464956760526382,41,3.01912,0,3.07758,0,14,1434.0259999999998,answer,3.01912,3.07758
42,1464956760543006,41,3.04544,0,3.05905,0,14,1450.6499999999996,answer,3.04544,3.05905
42,1464956760559755,41,3.04115,0,3.08717,0,14,1467.3989999999994,answer,3.04115,3.08717
42,1464956760576379,41,3.00067,0,3.0481,0,14,1484.0229999999992,answer,3.00067,3.0481
42,1464956760593003,41,2.99344,0,3.03273,0,14,1500.646999999999,answer,2.99344,3.03273
42,1464956760609627,41,2.97179,0,3.0703,0,14,1517.2710000000006,answer,2.97179,3.0703
42,1464956760626251,41,2.97034,0,3.03711,0,14,1533.8950000000004,answer,2.97034,3.03711
42,1464956760642997,41,2.97302,0,3.0405,0,14,1550.6409999999996,answer,2.97302,3.0405
